STATUS,TITLE,DEPARTMENT,FUNCTION,DIVISION,UNION_STATUS,EMPLOYMENT_CATEGORY,AGE,GENERATION,GENDER,ETHNIC_ORIGIN,LAST_PERFORMANCE_RATING,LAST_POTENTIAL_RATING,EMPLOYEE_PAY_FREQUENCY,EXEMPTTF,EMPLOYEE_PAY_BASIS,MANAGER_ID
Active,Technician,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,26,Generation Y,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1337
Active,Administrative Assistant,HR,HR,Corporate,Non-Union,Regular Employee FT,44,Generation X,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1950
Active,Forklift Driver,Operations-East,Operations,Product,Union,Regular Employee FT,54,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S989
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,22,Generation Y,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3255
Active,Dispatcher,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,61,Boomer,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3337
Active,Manager,Support,Support,Product,Non-Union,Regular Employee FT,47,Generation X,Male,H,Successfully Meets Expectations,Mastery,Monthly,T,Salary,S4476
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,54,Boomer,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1908
Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,35,Generation X,Male,B,Too New,Not assigned,Weekly,F,Hourly,S1075
Active,Mechanic,Support,Support,Product,Non-Union,Regular Employee FT,41,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2082
Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,35,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3479
Active,Installer,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,27,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1438
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,53,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S489
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,58,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S179
Active,Labor,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,36,Generation X,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3363
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,36,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1641
Active,Laborer,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,42,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3919
Terminated,Account Manager,Sales-East,Sales,Sales,Union,Regular Employee FT,55,Boomer,Male,B,No Rating,No Rating,Weekly,F,Daily,S785
Terminated,Sales Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,30,Generation X,Male,W,Developing/Meets Some,Not assigned,Monthly,T,Salary,S6320
Terminated,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,38,Generation X,Male,X,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S280
Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,61,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1058
Active,Supervisor,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,46,Generation X,Male,B,Developing/Meets Some,Strong Contributor,Monthly,T,Salary,S5412
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,43,Generation X,Male,W,Developing/Meets Some,Not assigned,Bi-Weekly,F,Daily,S97
Active,Sales Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,32,Generation X,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S2935
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,57,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3351
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,26,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S2608
Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Male,W,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S2516
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,30,Generation Y,Male,H,Meets & Exceeds,Not assigned,Weekly,F,Hourly,S3728
Active,Team Lead,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,54,Boomer,Male,H,Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1345
Active,Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,35,Generation X,Female,W,Successfully Meets Expectations,Top Talent,Bi-Weekly,T,Salary,S4763
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,51,Boomer,Male,O,No Rating,No Rating,Weekly,F,Hourly,S904
Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,49,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2466
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,35,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S45
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,38,Generation X,Male,B,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S711
Active,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,42,Generation X,Male,W,Meets & Exceeds,Not assigned,Monthly,T,Salary,S4890
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,32,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1620
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,57,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1140
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,25,Generation Y,Male,W,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S2630
Active,Labor,Factory-East,Manufacturing,Product,Union,Regular Employee FT,55,Boomer,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3312
Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,30,Generation Y,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2367
Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee PT,22,Generation Y,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1657
Active,Customer Service Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,43,Generation X,Female,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2833
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,30,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1550
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,30,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S277
Active,Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,24,Generation Y,Male,W,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S3050
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,23,Generation Y,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3647
Active,Clerk,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,62,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2952
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,35,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1248
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,27,Generation Y,Female,H,No Rating,No Rating,Weekly,F,Hourly,S3696
Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,24,Generation Y,Female,W,No Rating,No Rating,Monthly,T,Salary,S6062
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,50,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2327
Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,43,Generation X,Male,W,Too New,Not assigned,Bi-Weekly,F,Daily,S352
Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,51,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5447
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,39,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1324
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,25,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2381
Active,Mechanic,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,50,Boomer,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1511
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,45,Generation X,Female,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1622
Terminated,Mechanic,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,30,Generation Y,Male,H,Too New,Not assigned,Bi-Weekly,F,Hourly,S1038
Terminated,Human Resources Representative,HR,HR,Corporate,Non-Union,Regular Employee FT,35,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S6122
Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,32,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2004
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,36,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1248
Active,Team Lead,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,51,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1041
Active,Specialist,HR,HR,Corporate,Non-Union,Regular Employee FT,26,Generation Y,Female,B,Successfully Meets Expectations,Rising Star,Bi-Weekly,F,Hourly,S2790
Active,Deductions Representative,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,32,Generation X,Female,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S2780
Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,50,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2429
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,38,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2292
Active,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,T,Salary,S686
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,52,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S180
Active,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,43,Generation X,Male,W,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S5614
Terminated,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,30,Generation Y,Male,X,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S2414
Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,37,Generation X,Male,H,Meets & Exceeds,Not assigned,Weekly,F,Hourly,S3687
Active,Mechanic,Support,Support,Product,Union,Regular Employee FT,36,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3563
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,38,Generation X,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3322
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,32,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S676
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,24,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S623
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,49,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1162
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,26,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1388
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,51,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3538
Terminated,Mover,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,39,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1819
Active,Financial Analyst,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,42,Generation X,Female,O,No Rating,No Rating,Semi-Mont,T,Salary,S4279
Active,Laborer,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,50,Boomer,Female,W,No Rating,No Rating,Weekly,F,Hourly,S3920
Active,Operator,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,56,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1295
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,32,Generation X,Male,W,Successfully Meets Expectations,Strong Contributor,Bi-Weekly,F,Hourly,S1167
Active,Supervisor,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,42,Generation X,Male,W,Exceeds,Top Talent,Monthly,T,Salary,S5426
Active,Supervisor,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,41,Generation X,Male,W,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S5775
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,58,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3524
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,33,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S3098
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,38,Generation X,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1706
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,30,Generation Y,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3696
Active,Labor,Factory-East,Manufacturing,Product,Union,Regular Employee FT,44,Generation X,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3433
Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,33,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2426
Active,Controller,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,50,Boomer,Female,W,Successfully Meets Expectations,Strong Contributor,Semi-Mont,T,Salary,S4236
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,55,Boomer,Male,B,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1649
Active,Administrative Assistant,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,31,Generation X,Female,W,Exceeds,Mastery,Bi-Weekly,F,Hourly,S2982
Terminated,Sales Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,35,Generation X,Female,W,Meets & Exceeds,Top Talent,Monthly,T,Salary,S4899
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,23,Generation Y,Female,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S2639
Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,63,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1115
Active,Driver,Support,Support,Product,Union,Regular Employee FT,42,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3405
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,24,Generation Y,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S664
Active,Chemist,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,51,Boomer,Male,W,Developing/Meets Some,Emerging Talent,Monthly,T,Salary,S5629
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,26,Generation Y,Female,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2985
Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,26,Generation Y,Female,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5661
Terminated,Technician,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,29,Generation Y,Male,B,Meets & Exceeds,Not assigned,Weekly,F,Hourly,S4044
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,43,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Daily,S60
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,53,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2542
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,44,Generation X,Male,B,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1398
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,42,Generation X,Male,B,No Rating,No Rating,Weekly,F,Daily,S821
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,46,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1384
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,43,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S33
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,24,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2469
Terminated,Director,Support,Support,Product,Non-Union,Regular Employee FT,70,Traditionali,Male,W,Meets & Exceeds,Mastery,Semi-Mont,T,Salary,S735
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,49,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S87
Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,35,Generation X,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3713
Active,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,61,Boomer,Female,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S4539
Active,Forklift Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,41,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2164
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,52,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3442
Active,Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,54,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1863
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,24,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S2503
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,49,Boomer,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3604
Active,Manager,Operations-West,Operations,Product,Non-Union,Regular Employee FT,40,Generation X,Male,W,Meets & Exceeds,Strong Contributor,Semi-Mont,T,Salary,S4365
Active,Technician,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,49,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1687
Active,Sales Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,30,Generation Y,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2461
Active,Checker,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,37,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3924
Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,24,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1026
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,51,Boomer,Male,H,No Rating,No Rating,Weekly,F,Daily,S769
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,31,Generation X,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S2344
Active,Materials Handler,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,58,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3884
Active,Manager,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,53,Boomer,Male,W,Meets & Exceeds,Strong Contributor,Monthly,T,Salary,S3077
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1263
Active,Installer,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,54,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1111
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,41,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1913
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,39,Generation X,Male,H,Too New,Not assigned,Bi-Weekly,F,Daily,S529
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,32,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3463
Terminated,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,22,Generation Y,Male,H,Developing/Meets Some,Not assigned,Weekly,F,Hourly,S3540
Terminated,Mover,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,52,Boomer,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S2011
Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,23,Generation Y,Male,A,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2515
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,48,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S31
Active,Supervisor,Operations-East,Operations,Product,Non-Union,Regular Employee FT,48,Generation X,Female,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S3764
Active,Account Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,39,Generation X,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S4695
Terminated,Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,44,Generation X,Female,W,Successfully Meets Expectations,Top Talent,Monthly,T,Salary,S1763
Active,Customer Service Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,33,Generation X,Male,B,Meets & Exceeds,Not assigned,Semi-Mont,F,Salary,S3130
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,43,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S98
Active,Forklift Driver,Operations-West,Operations,Product,Union,Regular Employee FT,50,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2483
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,29,Generation Y,Male,N,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2403
Active,Representative,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,37,Generation X,Male,H,Developing/Meets Some,Not assigned,Bi-Weekly,F,Daily,S680
Active,Staff Associate,Sales-West,Sales,Sales,Union,Regular Employee FT,47,Generation X,Male,U,No Rating,No Rating,Bi-Weekly,F,Hourly,S2852
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,21,Generation Y,Female,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2360
Active,Mechanic,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,59,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2103
Active,Laborer,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,60,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3877
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,47,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3460
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,37,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2118
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,36,Generation X,Male,B,Exceeds,Not assigned,Bi-Weekly,F,Daily,S196
Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,43,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5508
Terminated,Manager,Factory-West,Manufacturing,Product,Non-Union,Regular Employee FT,40,Generation X,Male,X,Developing/Meets Some,Emerging Talent,Semi-Mont,T,Salary,S3898
Active,Laborer,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,58,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1370
Active,Driver,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,33,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Daily,S25
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,53,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1577
Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1027
Active,Sales Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,50,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5612
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,26,Generation Y,Female,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2536
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,40,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3655
Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,24,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3938
Active,Planner,Operations-West,Operations,Product,Non-Union,Regular Employee FT,49,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S1903
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,44,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S634
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,33,Generation X,Female,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1868
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1168
Active,Sales Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,54,Boomer,Female,A,Developing/Meets Some,Not assigned,Bi-Weekly,T,Salary,S4656
Active,Human Resources Representative,HR,HR,Corporate,Non-Union,Regular Employee FT,44,Generation X,Female,W,Exceeds,Not assigned,Bi-Weekly,T,Salary,S2703
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,34,Generation X,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S2876
